№	Код параметра	Наименование параметра настройки	Тип	Значение	Наименование модуля	№ модуля
516	TERR4MS21LIM  (ЭСППЗУ)	Искажение: Приход на НУ тележки	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	829 MODEL
517	TERR4SS12LIM  (ЭСППЗУ)	Искажение: Приход на механический ВУ тележки	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	830 MODEL
518	TERR4SS22LIM  (ЭСППЗУ)	Искажение: Приход на механический НУ тележки	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	831 MODEL
519	R8AD10LC1  (ЭСППЗУ)	Установить аварийный НИ от ИС	Лог.	1	TWOBOOL - Размножение логического сигнала на 2	832 MODEL
520	TERR8SS11LIM  (ЭСППЗУ)	Искажение: Аварийный НИ установлен	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	832 MODEL
521	TERR4VS12LDU  (ЭСППЗУ)	Искажение: Движение реактора к «У ЗАЩИТЫ»	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	833 MODEL
522	TERR4VS22LDU  (ЭСППЗУ)	Искажение: Движение реактора к «У ЗАЩИТЫ»	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	834 MODEL
523	TERB8SC01RIM  (ЭСППЗУ)	Искажение: Координата АЗ2	Цел.	0	TO3VAL - модель размножения вещественного сигнала	843 MODEL
524	TERA8SC01RIM  (ЭСППЗУ)	Искажение: Координата ДС2	Цел.	0	TO3VAL - модель размножения вещественного сигнала	845 MODEL
525	A8UC03RDU  (ЭСППЗУ)	Коэффициент преобразования показания энкодера АЗ2/ДС2 мм/дел.энкодера	Вещ.	0.0009765625	KTOENC - Модуль преобразования координаты в показания энкодера	851 MODEL
526	A8UC03RDU  (ЭСППЗУ)	Коэффициент преобразования показания энкодера АЗ2/ДС2 мм/дел.энкодера	Вещ.	0.0009765625	KTOENC - Модуль преобразования координаты в показания энкодера	853 MODEL
527	TERB8SS12LIM  (ЭСППЗУ)	Искажение: Приход на механический ВУ АЗ2	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	854 MODEL
528	TERA8SS12LIM  (ЭСППЗУ)	Искажение: Приход на механический ВУ ДС2	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	855 MODEL
529	TERB8SS22LIM  (ЭСППЗУ)	Искажение: Приход на механический НУ АЗ2	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	856 MODEL
530	TERA8SS22LIM  (ЭСППЗУ)	Искажение: Приход на механический НУ ДС2	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	857 MODEL
531	TERA9SS21LIM  (ЭСППЗУ)	Искажение: Приход на НУ НИ ДС1	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	869 MODEL
532	TERB9SS21LIM  (ЭСППЗУ)	Искажение: Приход на НУ НИ ДС2	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	870 MODEL
533	TERB9SS11LIM  (ЭСППЗУ)	Искажение: Приход на ВУ НИ ДС2	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	871 MODEL
534	R4UC23RIM  (ЭСППЗУ)	Y-координата АЗ1	Вещ.	5065.0	VCHS - Модель ионизационной камеры	879 MODEL
535	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	879 MODEL
536	R7UX13RSS  (ЭСППЗУ)	X-координата камеры R7IN51	Вещ.	1570.0	VCHS - Модель ионизационной камеры	879 MODEL
537	R7UY13RSS  (ЭСППЗУ)	Y-координата камеры R7IN51	Вещ.	248.0	VCHS - Модель ионизационной камеры	879 MODEL
538	A0UX13RSS  (ЭСППЗУ)	Первый коэффициент калибровки камеры 13	Вещ.	1.0	VCHS - Модель ионизационной камеры	879 MODEL
539	B0UX03RSS  (ЭСППЗУ)	Второй коэффициент калибровки камеры 3	Вещ.	0	VCHS - Модель ионизационной камеры	879 MODEL
540	R0UH01RSS  (ЭСППЗУ)	Коэфф. преобразования частота->нейтр/с  СНМ11	Вещ.	2	VCHS - Модель ионизационной камеры	879 MODEL
541	R0UH21RSS  (ЭСППЗУ)	Верхняя граница измерения частоты импульсов(имп/с) СНМ-11	Вещ.	4000	VCHS - Модель ионизационной камеры	879 MODEL
542	A0UX00RSS  (ЭСППЗУ)	Эффективный радиус АЗ	Вещ.	11.0	VCHS - Модель ионизационной камеры	879 MODEL
543	R4UC23RIM  (ЭСППЗУ)	Y-координата АЗ1	Вещ.	5065.0	VCHS - Модель ионизационной камеры	887 MODEL
544	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	887 MODEL
545	R7UX14RSS  (ЭСППЗУ)	X-координата камеры R7IN52	Вещ.	1269	VCHS - Модель ионизационной камеры	887 MODEL
546	R7UY14RSS  (ЭСППЗУ)	Y-координата камеры R7IN52	Вещ.	572.4	VCHS - Модель ионизационной камеры	887 MODEL
547	A0UX14RSS  (ЭСППЗУ)	Первый коэффициент калибровки камеры 14	Вещ.	1.0	VCHS - Модель ионизационной камеры	887 MODEL
548	B0UX04RSS  (ЭСППЗУ)	Второй коэффициент калибровки камеры 4	Вещ.	0	VCHS - Модель ионизационной камеры	887 MODEL
549	R0UH02RSS  (ЭСППЗУ)	Коэфф. преобразования частота->нейтр/с  КНК15-1	Вещ.	3703.704	VCHS - Модель ионизационной камеры	887 MODEL
550	R0UH22RSS  (ЭСППЗУ)	Верхняя граница измерения частоты импульсов(имп/с) КНК-15-1	Вещ.	100000	VCHS - Модель ионизационной камеры	887 MODEL
551	A0UX00RSS  (ЭСППЗУ)	Эффективный радиус АЗ	Вещ.	11.0	VCHS - Модель ионизационной камеры	887 MODEL
552	R4UC23RIM  (ЭСППЗУ)	Y-координата АЗ1	Вещ.	5065.0	VCHS - Модель ионизационной камеры	897 MODEL
553	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	897 MODEL
554	R7UX15RSS  (ЭСППЗУ)	X-координата камеры R7IN53	Вещ.	1281.2	VCHS - Модель ионизационной камеры	897 MODEL
555	R7UY15RSS  (ЭСППЗУ)	Y-координата камеры R7IN53	Вещ.	246.8	VCHS - Модель ионизационной камеры	897 MODEL
556	A0UX15RSS  (ЭСППЗУ)	Первый коэффициент калибровки камеры 15	Вещ.	1.0	VCHS - Модель ионизационной камеры	897 MODEL
557	B0UX05RSS  (ЭСППЗУ)	Второй коэффициент калибровки камеры 5	Вещ.	0.0	VCHS - Модель ионизационной камеры	897 MODEL
558	R0UH03RSS  (ЭСППЗУ)	Коэфф. преобразования частота->нейтр/с  КНК53М	Вещ.	62500.0	VCHS - Модель ионизационной камеры	897 MODEL
559	R0UH23RSS  (ЭСППЗУ)	Верхняя граница измерения частоты импульсов(имп/с) КНК-53М	Вещ.	1000000	VCHS - Модель ионизационной камеры	897 MODEL
560	A0UX00RSS  (ЭСППЗУ)	Эффективный радиус АЗ	Вещ.	11.0	VCHS - Модель ионизационной камеры	897 MODEL
561	R4MC01RC1  (ЭСППЗУ)	Заданная координата тележки от ИС	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	909 MODEL
562	R4MV01RC1  (ЭСППЗУ)	Заданная скорость тележки от ИС	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	909 MODEL
563	R4UV80RDU  (ЭСППЗУ)	Номинальная скорость тележки (мм/с)	Вещ.	40	ASMOT - Модель перемещения механизма с шаговым двигателем	909 MODEL
564	R4US80RDU  (ЭСППЗУ)	Тормозной путь тележки (мм)	Вещ.	20	ASMOT - Модель перемещения механизма с шаговым двигателем	909 MODEL
565	TERTLG  (ЭСППЗУ)	Неисправности  тележки от ИС	Цел.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	909 MODEL
566	R4UC10RIM  (ЭСППЗУ)	Координата верхних механических упоров тележки мм	Вещ.	15630.0	ASMOT - Модель перемещения механизма с шаговым двигателем	909 MODEL
567	R4UC20RIM  (ЭСППЗУ)	Координата нижних механических упоров тележки мм	Вещ.	1374	ASMOT - Модель перемещения механизма с шаговым двигателем	909 MODEL
568	R4UC10RIM  (ЭСППЗУ)	Координата верхних механических упоров тележки мм	Вещ.	15630.0	ASMOT - Модель перемещения механизма с шаговым двигателем	909 MODEL
569	R4UC20RIM  (ЭСППЗУ)	Координата нижних механических упоров тележки мм	Вещ.	1374	ASMOT - Модель перемещения механизма с шаговым двигателем	909 MODEL
570	R4UC08RDU  (ЭСППЗУ)	Зона срабатывания КВ тележки РУ(мм)	Вещ.	0.50	ASMOT - Модель перемещения механизма с шаговым двигателем	909 MODEL
571	R4MC01RSP  (ЭСППЗУ)	Стартовая координата тележки	Вещ.	15650	ASMOT - Модель перемещения механизма с шаговым двигателем	909 MODEL
572	R4MV01RSP  (ЭСППЗУ)	Стартовая скорость тележки	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	909 MODEL
573	R4UC10RIM  (ЭСППЗУ)	Координата верхних механических упоров тележки мм	Вещ.	15630.0	FSUMO - Модуль 'Сумматор' вещественных параметров на два входа	914 MODEL
574	R4UC22RIM  (ЭСППЗУ)	Смещение координаты АЗ от координаты тележки	Вещ.	43.6	FSUMO - Модуль 'Сумматор' вещественных параметров на два входа	914 MODEL
575	R0IE01LRP  (ЭСППЗУ)	Отключение питание детекторов	Лог.	0	ORN - Модуль 'Логический элемент ИЛИ'	923 MODEL
576	R0IE02LRP  (ЭСППЗУ)	Отключить питание ПР, ПУ	Лог.	0	ORN - Модуль 'Логический элемент ИЛИ'	923 MODEL
577	A0UP02RIM  (ЭСППЗУ)	Текущее давление в АЗ1,2	Вещ.	2.9	BOL - Логический модуль "Больше"	934 MODEL
578	A0UP01RIM  (ЭСППЗУ)	Текущее давление в АЗ1,2	Вещ.	2.74	BOL - Логический модуль "Больше"	934 MODEL
579	A1UP01RIM  (ЭСППЗУ)	Текущее давление на сброс ББ (МПа)	Вещ.	0.76	BOL - Логический модуль "Больше"	946 MODEL
580	A1UP82RIM  (ЭСППЗУ)	Нижняя граница нормализации давления СБРОС ББ (МПа)	Вещ.	0.73	BOL - Логический модуль "Больше"	946 MODEL
581	A3UP01RIM  (ЭСППЗУ)	Текущее давление на СПУСК ИС	Вещ.	0.13	BOL - Логический модуль "Больше"	955 MODEL
582	A3UP02RIM  (ЭСППЗУ)	Нижняя граница  давления на СПУСК ИС	Вещ.	0.07	BOL - Логический модуль "Больше"	955 MODEL
583	A2UP02RIM  (ЭСППЗУ)	Текущее давление на подъём РБ	Вещ.	0.45	BOL - Логический модуль "Больше"	956 MODEL
584	A2UP03RIM  (ЭСППЗУ)	Нижняя граница давления на ПОДЪЁМ РБ	Вещ.	0.39	BOL - Логический модуль "Больше"	956 MODEL
585	A4UP01RIM  (ЭСППЗУ)	Текущее давление на подъём НИ	Вещ.	0.275	BOL - Логический модуль "Больше"	958 MODEL
586	A4UP02RIM  (ЭСППЗУ)	Нижняя граница давления на подъём НИ	Вещ.	0.245	BOL - Логический модуль "Больше"	958 MODEL
587	TERA1SC01RIM  (ЭСППЗУ)	Искажение: Координата штока ББ1	Цел.	0	TO3VAL - модель размножения вещественного сигнала	963 MODEL
588	TERA1SS21LIM  (ЭСППЗУ)	Искажение: Приход на НУ ББ1	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	967 MODEL
589	TERA1SS11LIM  (ЭСППЗУ)	Искажение: Приход на ВУ ББ1	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	968 MODEL
590	A1UC03RDU  (ЭСППЗУ)	Коэффициент преобразования показания энкодера ББ мм/дел.энкодера	Вещ.	0.00009765625	KTOENC - Модуль преобразования координаты в показания энкодера	970 MODEL
591	TERA1SS12LIM  (ЭСППЗУ)	Искажение: Магнит ББ1 зацеплен	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	971 MODEL
592	R7UX16RSS  (ЭСППЗУ)	Величина сигнала СНМ11 в БЗ	Вещ.	1	TO3VAL - модель размножения вещественного сигнала	972 MODEL
593	TERB1MC01RIM  (ЭСППЗУ)	Искажение: Координата штока ББ2	Цел.	0	TO3VAL - модель размножения вещественного сигнала	982 MODEL
594	TERB1SS21LIM  (ЭСППЗУ)	Искажение: Приход на НУ ББ2	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	984 MODEL
595	TERB1SS11LIM  (ЭСППЗУ)	Искажение:Приход на ВУ ББ2	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	985 MODEL
596	A1UC03RDU  (ЭСППЗУ)	Коэффициент преобразования показания энкодера ББ мм/дел.энкодера	Вещ.	0.00009765625	KTOENC - Модуль преобразования координаты в показания энкодера	987 MODEL
597	TERB1SS12LIM  (ЭСППЗУ)	Искажение: Магнит ББ2 зацеплен	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	988 MODEL
598	TERR3SS11LIM  (ЭСППЗУ)	Искажение: Приход на ВУ гомогенных дверей-1	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	998 MODEL
599	TERR1SS11LIM  (ЭСППЗУ)	Искажение: Приход на ВУ МДЗ1	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	999 MODEL
600	TERR1SS21LIM  (ЭСППЗУ)	Искажение: Приход на НУ МДЗ1	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	1000 MODEL
601	TERR2SS11LIM  (ЭСППЗУ)	Искажение: Приход на ВУ МДЗ2	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	1001 MODEL
602	TERR2SS21LIM  (ЭСППЗУ)	Искажение: Приход на НУ МДЗ2	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	1002 MODEL
603	TERR3SS21LIM  (ЭСППЗУ)	Искажение: Приход на НУ гомогенных дверей-1	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	1013 MODEL
604	TERR1VS12LIM  (ЭСППЗУ)	Искажение: Движение МДЗ1 в сторону ВУ	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	1014 MODEL
605	TERR1VS22LIM  (ЭСППЗУ)	Искажение: Движение МДЗ1 в сторону НУ	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	1015 MODEL
606	TERR2VS12LIM  (ЭСППЗУ)	Искажение: Движение МДЗ2 в сторону ВУ	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	1016 MODEL
607	TERR2VS22LIM  (ЭСППЗУ)	Искажение: Движение МДЗ2 в сторону НУ	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	1017 MODEL
608	TERR5SS11LIM  (ЭСППЗУ)	Искажение: Приход на ВУ ворот отстойной зоны	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	1030 MODEL
609	TERA4SS11LIM  (ЭСППЗУ)	Искажение: Приход на ВУ НИ1	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	1031 MODEL
610	TERB4SS11LIM  (ЭСППЗУ)	Искажение: Приход на ВУ НИ2	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	1032 MODEL
611	TERA4SS21LIM  (ЭСППЗУ)	Искажение: Приход на НУ НИ1	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	1033 MODEL
612	TERA6MS11LIM  (ЭСППЗУ)	Искажение: Приход на ВУ БЗ1	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	1034 MODEL
613	TERA6SS21LIM  (ЭСППЗУ)	Искажение: Приход на НУ БЗ1	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	1035 MODEL
614	TERB6SS11LIM  (ЭСППЗУ)	Искажение: Приход на ВУ БЗ2	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	1036 MODEL
615	TERA4VP82LIM  (ЭСППЗУ)	Искажение Давление ПОДЪЁМ НИ в норме	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	1050 MODEL
616	TERB4SS21LIM  (ЭСППЗУ)	Искажение: Приход на НУ НИ2	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	1051 MODEL
617	TERR5SS21LIM  (ЭСППЗУ)	Искажение: Приход на НУ ворот отстойной зоны	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	1052 MODEL
618	TERR6SS21LIM  (ЭСППЗУ)	Искажение: Кран-балка в нерабочем положении	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	1053 MODEL
619	TERA9SS11LIM  (ЭСППЗУ)	Искажение: Приход на ВУ НИ ДС1	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	1054 MODEL
620	TERB6SS21LIM  (ЭСППЗУ)	Искажение: Приход на НУ БЗ2	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	1055 MODEL
